ts,value,time_ms,time_s
1575297600.8472884,32.0,14:40:00.847288,14:40:00
1575297600.8974195,32.0,14:40:00.897419,14:40:00
1575297600.9475474,32.0,14:40:00.947547,14:40:00
1575297603.153125,32.0,14:40:03.153125,14:40:03
1575297603.2032554,32.0,14:40:03.203255,14:40:03
1575297603.2533894,32.0,14:40:03.253389,14:40:03
1575297629.2768288,32.0,14:40:29.276829,14:40:29
1575297629.3269494,32.0,14:40:29.326949,14:40:29
1575297629.377073,32.0,14:40:29.377073,14:40:29
1575297862.4886913,32.0,14:44:22.488691,14:44:22
1575297862.538817,32.0,14:44:22.538817,14:44:22
1575297862.58895,32.0,14:44:22.588950,14:44:22
1575298018.3961198,32.0,14:46:58.396120,14:46:58
1575298018.4462452,32.0,14:46:58.446245,14:46:58
1575298018.4963686,32.0,14:46:58.496369,14:46:58
1575298018.546495,32.0,14:46:58.546495,14:46:58
1575298018.5966148,32.0,14:46:58.596615,14:46:58
1575298019.5991235,32.0,14:46:59.599123,14:46:59
1575298019.6492438,32.0,14:46:59.649244,14:46:59
1575298331.27148,48.0,14:52:11.271480,14:52:11
1575298331.321601,48.0,14:52:11.321601,14:52:11
1575298331.3717177,48.0,14:52:11.371718,14:52:11
1575298331.4218724,48.0,14:52:11.421872,14:52:11
1575298331.8253427,48.0,14:52:11.825343,14:52:11
1575298331.8754914,32.0,14:52:11.875491,14:52:11
1575298331.9256124,48.0,14:52:11.925612,14:52:11
1575298331.9772835,32.0,14:52:11.977283,14:52:11
1575298332.0274026,32.0,14:52:12.027403,14:52:12
1575298340.8029866,32.0,14:52:20.802987,14:52:20
1575298340.8534436,32.0,14:52:20.853444,14:52:20
1575298340.9036493,32.0,14:52:20.903649,14:52:20
1575298342.2085922,32.0,14:52:22.208592,14:52:22
1575298342.2587247,32.0,14:52:22.258725,14:52:22
1575298342.3088572,32.0,14:52:22.308857,14:52:22
1575298355.7461483,32.0,14:52:35.746148,14:52:35
1575298355.7963927,80.0,14:52:35.796393,14:52:35
1575298355.8465233,80.0,14:52:35.846523,14:52:35
1575298355.896736,80.0,14:52:35.896736,14:52:35
1575298355.9468627,48.0,14:52:35.946863,14:52:35
1575298355.9969876,32.0,14:52:35.996988,14:52:35
1575298356.0471187,32.0,14:52:36.047119,14:52:36
1575298356.3478658,32.0,14:52:36.347866,14:52:36
1575298356.3979876,32.0,14:52:36.397988,14:52:36
1575298356.5580614,32.0,14:52:36.558061,14:52:36
1575298357.5609913,32.0,14:52:37.560991,14:52:37
1575298357.6111138,32.0,14:52:37.611114,14:52:37
1575298357.661243,32.0,14:52:37.661243,14:52:37
1575298359.4166934,32.0,14:52:39.416693,14:52:39
1575298359.4668176,32.0,14:52:39.466818,14:52:39
1575298359.5169888,32.0,14:52:39.516989,14:52:39
1575298368.9939132,32.0,14:52:48.993913,14:52:48
